Box,Strain,Date,Name,Genus,species,Strain Synonym,
2,NVP4,3/17/15,NVP,,,,
2,NVP5,3/17/15,NVP,,,,
2,NVP6,4/28/15,NVP,,,,
2,NVP7,4/28/15,NVP,,,,
2,NVP8a,4/28/15,NVP,,,,
2,NVP8b,3/17/15,NVP,,,,
2,NVP10,4/28/15,NVP,,,,
3,AD264,9/12/17,AEB,,,,
3,AV026,9/12/17,AEB,,,,
3,AD115,9/12/17,AEB,,,,
3,AM1052,9/14/17,AEB,,,,
3,AD057,9/14/17,AEB,,,,
3,JL8,10/24/17,Jul,,,,
3,AD271,10/25/17,AEB,,,,
3,REBM043,10/25/17,AEB,,,,
3,JL18,1/15/18,Jul,,,,
3,JL32,2/27/18,Jul,,,,
3,AD264,9/12/17,AEB,,,,
3,AD115,9/12/17,AEB,,,,
3,AM1052,9/14/17,AEB,,,,
3,AD057,9/14/17,AEB,,,,
3,JL9,1/15/18,Jul,,,,
3,AD269,10/25/17,AEB,,,,
3,REBM043,10/25/17,AEB,,,,
3,JL19,1/15/18,Jul,,,,
3,JL33,2/27/18,Jul,,,,
3,XW008,9/12/17,AEB,,,,
3,AD262,9/12/17,AEB,,,,
3,NVP68,9/14/17,AEB,,,,
3,AD101,9/14/17,AEB,,,,
3,JL10,10/24/17,Jul,,,,
3,AD271,10/25/17,AEB,,,,
3,JL2,11/5/18,Jul,,,,
3,IG21,1/15/18,Jul,,,,
3,JL34,2/27/18,Jul,,,,
3,XW008,9/12/17,AEB,,,,
3,AD262,9/12/17,AEB,,,,
3,NVP68,9/14/17,AEB,,,,
3,AD101,9/14/17,AEB,,,,
3,JL11,10/24/17,Jul,,,,
3,AD269,10/25/17,AEB,,,,
3,JL3,1/15/18,Jul,,,,
3,JU15B,1/15/18,Jul,,,,
3,JL35,2/27/18,Jul,,,,
3,AD281,9/12/17,AEB,,,,
3,AD114,9/12/17,AEB,,,,
3,AD272,9/12/17,AEB,,,,
3,AD096,9/14/17,AEB,,,,
3,AD095,9/14/17,AEB,,,,
3,AD281,9/12/17,AEB,,,,
3,AD114,9/12/17,AEB,,,,
3,AD272,9/12/17,AEB,,,,
3,AD096,9/14/17,AEB,,,,
3,AD095,9/14/17,AEB,,,,
3,JL14,10/14/17,Jul,,,,
3,REBM044,10/25/17,AEB,,,,
3,REBM044,10/25/17,AEB,,,,
3,JL13,10/24/17,Jul,,,,
3,JL6,1/15/18,Jul,,,,
3,JL7,1/15/18,Jul,,,,
3,JU19,1/15/18,Jul,,,,
3,JU20,1/15/18,Jul,,,,
3,JL36,2/27/18,Jul,,,,
3,JL37,2/27/18,Jul,,,,
3,XW004,9/12/17,AEB,,,,
3,AV019,9/12/17,AEB,,,,
3,AD113,9/12/17,AEB,,,,
3,NVP44,9/14/17,AEB,,,,
3,AD092 wt,10/14/18,AEB,,,,
3,AD071,10/24/17,AEB,,,,
3,REB057X,10/25/17,AEB,,,,
3,XW004,9/12/17,AEB,,,,
3,AV019,9/12/17,AEB,,,,
3,AD113,9/12/17,AEB,,,,
3,NVP44,9/14/17,AEB,,,,
3,AD092 wt,10/14/18,AEB,,,,
3,AD071,10/24/17,AEB,,,,
3,REB057X,10/25/17,AEB,,,,
3,JL21,2/15/18,Jul,,,,
3,JL15,1/15/18,Jul,,,,
3,JL28,2/27/18,Jul,,,,
3,JL29,2/27/18,Jul,,,,
3,JL38,2/27/18,Jul,,,,
3,JL39,2/27/18,Jul,,,,
3,AD123,9/12/17,AEB,,,,
3,XW003,9/12/17,AEB,,,,
3,AD273,9/12/17,AEB,,,,
3,AD097,9/14/17,AEB,,,,
3,AD282,10/24/17,AEB,,,,
3,AD283,10/24/17,AEB,,,,
3,XW003,9/12/17,AEB,,,,
3,AD273,9/12/17,AEB,,,,
3,AD097,9/14/17,AEB,,,,
3,AD282,10/24/17,AEB,,,,
3,AD283,10/24/17,AEB,,,,
3,JL12,10/24/17,Jul,,,,
3,JL12,1/15/18,Jul,,,,
3,JL16,1/15/18,Jul,,,,
3,JL17,1/15/18,Jul,,,,
3,JL30,2/27/18,Jul,,,,
3,JL31,2/27/18,Jul,,,,
3,JL40,3/21/18,Jul,,,,
3,JL41,3/21/18,Jul,,,,
4,AM1068,3/11/15,,,,,
4,AM1069,4/2/15,,,,,
4,PMI546,4/6/15,,,,,
4,PMI1271,4/6/15,,,,,
4,PMI789,4/6/15,,,,,
4,PMI927,9/26/15,GB,,,,
4,JL2,9/29/17,Jul,,,,
4,JL1,9/26/17,Jul,,,,
4,AM1057,3/12/15,,,,"""=KOD9XX""",
4,AM1058,3/15/15,,,,"""=KOD9XX""",
4,AM1059,3/13/15,,,,"""=KOD9XX""",
4,AM1067,4/2/15,,,,"""=KOD9XX""",
4,AM1060,4/2/15,,,,"""=KOD9XX""",
4,AM106L,3/13/15,,,,"""=KOD9XX""",
4,AM1062,3/17/15,,,,"""=KOD9XX""",
4,AM1063,3/12/15,,,,"""=KOD9XX""",
4,AM1064,3/13/15,,,,"""=KOD9XX""",
4,AM1065,,,,,"""=KOD9XX""",
4,AM1056,3/12/15,,,,"""=KOD9XX""",
4,AM1066,3/12/15,,,,"""=KOD9XX""",
4,AM1043,3/11/15,,,,"""=KOD9XX""",
4,AM1045,3/13/15,,,,"""=KOD9XX""",
4,AM1049,3/11/15,,,,"""=KOD9XX""",
4,AM1050,4/2/15,,,,"""=KOD9XX""",
4,AM1051,4/2/15,,,,"""=KOD9XX""",
4,AM1053,3/11/15,,,,"""=KOD9XX""",Evaporated Dry
4,AM1055,4/2/15,,,,"""=KOD9XX""",
4,AM1028,3/11/15,,,,"""=KOD9XX""",
4,AM1029,3/13/15,,,,"""=KOD9XX""",
4,AM1030,3/11/15,,,,"""=KOD9XX""",
4,AM1031,3/11/15,,,,"""=KOD9XX""",
4,AM1033,3/11/15,,,,"""=KOD9XX""",
4,AM1035,3/13/15,,,,"""=KOD9XX""",
4,AM1037,3/1/15,,,,"""=KOD9XX""",
4,AM1038,3/11/15,,,,"""=KOD9XX""",
4,AM1039,3/11/15,,,,"""=KOD9XX""",
4,AM1042,3/13/15,,,,"""=KOD9XX""",
4,AM1017,3/13/15,,,,"""=KOD9XX""",
4,AM1018,3/12/15,,,,"""=KOD9XX""",
4,AM1019,3/12/15,,,,"""=KOD9XX""",
4,AM1020,3/12/15,,,,"""=KOD9XX""",
4,AM1021,4/2/15,,,,"""=KOD9XX""",
4,AM1022,3/17/15,,,,"""=KOD9XX""",
4,AM1024,3/11/15,,,,"""=KOD9XX""",
4,AM1025,3/11/15,,,,"""=KOD9XX""",
4,AM1026,3/12/15,,,,"""=KOD9XX""",
4,AM1027,3/13/15,,,,"""=KOD9XX""",
4,AM1003,3/11/15,,,,"""=KOD9XX""",
4,AM1005,3/17/15,,,,"""=KOD9XX""",
4,AM1008,3/11/15,,,,"""=KOD9XX""",
4,AM1010,3/11/15,,,,"""=KOD9XX""",
4,AM1011,3/13/15,,,,"""=KOD9XX""",
4,AM1012,3/17/15,,,,"""=KOD9XX""",
4,AM1013,3/12/15,,,,"""=KOD9XX""",
4,AM1014,3/12/15,,,,"""=KOD9XX""",
4,AM1015,4/2/15,,,,"""=KOD9XX""",
4,AM1016,,,,,"""=KOD9XX""",
4,AM988,3/12/15,,,,"""=KOD9XX""",
4,AM989,3/17/15,,,,"""=KOD9XX""",
4,AM990,3/13/15,,,,"""=KOD9XX""",
4,AM992,3/11/15,,,,"""=KOD9XX""",
4,AM993,3/11/15,,,,"""=KOD9XX""",
4,AM995,3/13/15,,,,"""=KOD9XX""",
4,AM996,3/11/15,,,,"""=KOD9XX""",
4,AM1000,3/12/15,,,,"""=KOD9XX""",
4,AM1001,3/11/15,,,,"""=KOD9XX""",
4,AM970,3/12/15,,,,"""=KOD9XX""",
4,AM972,3/11/15,,,,"""=KOD9XX""",
4,AM973,4/2/15,,,,"""=KOD9XX""",
4,AM991,4/2/15,,,,"""=KOD9XX""",
4,AM976,3/11/15,,,,"""=KOD9XX""",
4,AM978,3/12/15,,,,"""=KOD9XX""",
4,AM979,3/12/15,,,,"""=KOD9XX""",
4,AM980,3/12/15,,,,"""=KOD9XX""",
4,AM981,3/12/15,,,,"""=KOD9XX""",
4,AM982,3/12/15,,,,"""=KOD9XX""",
4,AM984,3/11/15,,,,"""=KOD9XX""",
4,AM958,3/17/19,,,,"""=KOD9XX""",
4,AM959,3/11/15,,,,"""=KOD9XX""",
4,AM960,3/11/15,,,,"""=KOD9XX""",
4,AM963,3/11/15,,,,"""=KOD9XX""",
4,AM964,3/11/15,,,,"""=KOD9XX""",
4,AM965,3/17/15,,,,"""=KOD9XX""",
4,AM966,4/2/15,,,,"""=KOD9XX""",
4,AM967,3/13/15,,,,"""=KOD9XX""",
4,AM968,3/17/15,,,,"""=KOD9XX""",
4,AM969,3/12/15,,,,"""=KOD9XX""",
4,AM943,3/12/15,,,,"""=KOD9XX""",
4,AM944,3/11/15,,,,"""=KOD9XX""",
4,AM945,3/12/15,,,,"""=KOD9XX""",
4,AM947,3/12/15,,,,"""=KOD9XX""",
4,AM948,3/12/15,,,,"""=KOD9XX""",
4,AM950,3/11/15,,,,"""=KOD9XX""",
4,AM954,3/11/15,,,,"""=KOD9XX""",
4,AM955,3/11/15,,,,"""=KOD9XX""",
4,AM956,4/2/15,,,,"""=KOD9XX""",
4,AM957,3/17/15,,,,"""=KOD9XX""",
5,ADM2,3/23/17,,,,,
5,AD112 RT,4/3/17,Ale,,,,
5,AD192 (KE4),3/16/17,Ale,,,,
5,AD192 RT,4/3/17,Ale,,,,
5,AD122 RT,4/3/17,Ale,,,,
5,AD122 ,3/23/17,Ale,,,,
5,AD118,3/23/17,Ale,,,,
5,AD 118 RT,4/3/17,Ale,,,,
5,AV007,8/15/17,AEB,,,,
5,AV007,8/15/17,AEB,,,,
5,AD188,8/16/17,AEB,,,,
5,AD188,8/16/17,AEB,,,,
5,AD279,8/16/17,AEB,,,,
5,AD279,8/16/17,AEB,,,,
5,AV009,8/16/17,AEB,,,,
5,AV009,8/16/17,AEB,,,,
5,AD267,8/16/17,AEB,,,,
5,AD267,8/16/17,AEB,,,,
5,AD124,8/16/17,AEB,,,,
5,AD111,8/16/17,AEB,,,,
5,AD280,8/16/17,AEB,,,,
5,AD263,8/16/17,AEB,,,,
5,AV001,8/16/17,AEB,,,,
5,AD124,8/16/17,AEB,,,,
5,AD111,8/16/17,AEB,,,,
5,AD280,8/16/17,AEB,,,,
5,AD263,8/16/17,AEB,,,,
5,AV001,8/16/17,AEB,,,,
